ER;Excesiva ramificación
PAA;Podas Anteriores Antitécnicas
PAT;Podas Anteriores Técnicas
RS;Ramas Secas
Rb;Rebrotes
CA;Copa Asimétrica
RP;Ramas Pendulares
No;Normal
RPC;Ramas Peligro Caída
D;Denso
M;Medio
R;Ralo
RD;Raíces Descubiertas
PRA;Poda Raíz Antitécnica
PRT;Poda Raíz Técnica
Na;No aplica
Bu;Bueno
Re;Regular
Ma;Malo
B;Bifurcado
Bb;Bifurcación basal
BB;Bifurcaciones básales
FR;Fuste Recto
I;Inclinado
MI;Muy Inclinado
To;Torcido
C;Compartimentalizado
Rv;Madera revirada
Ac;Acanalado
DM;Daño Mecánico
An;Anillado
Dc;Descortezado
SB;Socabamiento Basal
BuRaiz;Bueno
ReRaiz;Regular
MaRaiz;Malo
PS;Parcialmente Seco
Se;Seco
Su;Suprimido
DesC:Descopado
FT:Fuste Torcido
CR:Caida Ramas
FB:Fuste Bifurcado
CELE:Crecimiento Excesivo para el Lugar de Emplazamiento




