ABUTILON;Abutilon insigne
ACACIA JARDIN;Acacia calamifolia
ACACIA;Acacia mearnsii
ACACIA BRACATINGA;Albizia lophanta
ACACIA JAPONESA;Acacia melanoxylom
ACACIA MORADA;Acacia baileyana ssp. purpurea
ACACIA NEGRA;Acacia decurrens
AGUACATE COMUN;Persea americana
AJI DE PARAMO;Drimys granadevis
ALAMO;Populus nigra
ALCAPARRO DOBLE;Senna viarum
ALCAPARRO ENANO;Senna multiglandulosa
ALGARROBO;Prosopis juliflora
ALISO;Alnus acuminata
ALISO;Alnus jorullensis
ALMENDRO;Terminalia catappa
AMARRABOLLO;Meriana nobilis
ANGELITO;Bucquetia glutinosa
ARAUCARIA;Araucaria heterophylla
ARAUCARIA ARAUCANA;Araucaria imbricata
ARBOL LOCO;Smallanthus pyramidalis
ARCE;Acer pseudoplatanus
ARRAYAN;Myrcianthes leucoxyla
BALU;Erythrina edulis
BOJ;Buxus sempervirens
BORRACHERO;Datura arborea
BOUGANVILL;Bougainvillea glabra
BREVO;Ficus carica
CABALLERO;Cestrum elegans
CAFÉ;Coffea sp.
CAIMO;Chrysophyllum oliviforme
CAJETO;Citharexylum subflavescens
CALISTEMO;Callistemon citrinus
CALISTEMO LLORON;Callistemon viminalis
CAMBULO;Erythrina fusca
CARACOLI;Anacardium excelsum
CARBONERO ;Calliandra haematophylla
CARBONERO ROJO;Calliandra carbonaria
CARISECO;Billia columbiana
CASUARINA;Casuarina equisetifolia
CAUCHO BENJAMIN;Ficus benjamina
CAUCHO COMUN;Ficua elastica
CAUCHO SABANERO;Ficus soatensis
CAUCHO TEQUENDAMA;Ficus tequendamae
CAÑA FISTULA;Cassia grandis
CAYENO;Hibiscus rosa-Sinensis
CEDRILLO;Phyllanthus salviaefolius
CEDRO;Cedrela montana
CEDRO DE ALTURA;Cedrela montana
CEDRO ROSADO;Cedrela montana
CEREZO;Prunus serotina
CHARNE;Bucquetia glutinosa
CHEFLERA;Cheflera sp.
CHICALA;Tecomastans
CHILCO;Buccharis latifolia
