ZP;VERIFICAR
MA;Mal Anclado
CE;Cercano a Estructura
IR;Interferencia con Redes
HX;Altura excesiva para el lugar de siembra
PV;Peligro de Volcamiento
ESV;Sp. Suscep. Volcamiento.
ID;Inadecuado Distanciamiento
DI;Daño a Infraestructura
Ccl;Construcción cixloruta
Ctr;Construcción de Transmilenio
Ran;Reconstrucción de andenes
Apa;Adecuación de Parquex
Cop;Construcción de obra Pública
Cpr;Construcción de obra Privada
Ni;Ninguna
Li;Ligera
Mo;Moderada
Sem];Semisevera
Sev;Severa
Es;Escencial
De;Deseable
In;Indiferente
Ia;Inaceptable
Ta;Tala
Bo;Bloqueo y Traslado
Po;Poda
Co;Conservar
Tr;Tratamiento






